"Distance","Time","Status","OriginInd","DestinationInd"
0,0,"OK",1,1
16804,849,"OK",1,2
38890,1775,"OK",1,3
52946,2788,"OK",1,4
13995,871,"OK",1,5
27632,2381,"OK",1,6
39385,1956,"OK",1,7
40070,1829,"OK",1,8
24978,1413,"OK",1,9
19980,1287,"OK",1,10
55836,2498,"OK",1,11
21813,1219,"OK",1,12
51132,2505,"OK",1,13
58591,2656,"OK",1,14
35215,1736,"OK",1,15
27747,1320,"OK",1,16
26675,1374,"OK",1,17
51132,2505,"OK",1,18
42643,2084,"OK",1,19
34359,1749,"OK",1,20
35119,1712,"OK",1,21
54373,2349,"OK",1,22
49828,2250,"OK",1,23
47604,2224,"OK",1,24
41951,1805,"OK",1,25
57418,2612,"OK",1,26
60538,2797,"OK",1,27
44021,1962,"OK",1,28
21004,1113,"OK",1,29
55904,2583,"OK",1,30
79971,4819,"OK",1,31
17049,820,"OK",1,32
49590,2462,"OK",1,33
60981,2711,"OK",1,34
40355,1907,"OK",1,35
42628,1761,"OK",1,36
42556,2198,"OK",1,37
26680,1368,"OK",1,38
12569,817,"OK",1,39
38169,1802,"OK",1,40
28094,1465,"OK",1,41
51937,2471,"OK",1,42
49367,2335,"OK",1,43
26183,1256,"OK",1,44
27836,1719,"OK",1,45
39681,2108,"OK",1,46
29276,1340,"OK",1,47
55783,2867,"OK",1,48
22912,1224,"OK",1,49
37307,1863,"OK",1,50
24693,1460,"OK",1,51
32426,1537,"OK",1,52
45018,2193,"OK",1,53
20710,1125,"OK",1,54
20180,1351,"OK",1,55
17855,1329,"OK",1,56
40127,1962,"OK",1,57
7524,527,"OK",1,58
28089,1394,"OK",1,59
21038,1200,"OK",1,60
48032,2178,"OK",1,61
44474,2196,"OK",1,62
37467,1754,"OK",1,63
17471,1481,"OK",1,64
33647,1928,"OK",1,65
44042,1903,"OK",1,66
21259,1460,"OK",1,67
43708,2225,"OK",1,68
52354,2368,"OK",1,69
32778,1671,"OK",1,70
32319,1496,"OK",1,71
20319,1355,"OK",1,72
38972,2026,"OK",1,73
33932,1552,"OK",1,74
18574,911,"OK",1,75
29783,1536,"OK",1,76
20980,1217,"OK",1,77
38059,2076,"OK",1,78
21894,1100,"OK",1,79
55836,2498,"OK",1,80
37261,1863,"OK",1,81
39030,1820,"OK",1,82
43720,2152,"OK",1,83
66639,3786,"OK",1,84
41786,1833,"OK",1,85
43088,2273,"OK",1,86
51497,2333,"OK",1,87
57552,2375,"OK",1,88
53852,2388,"OK",1,89
79433,4737,"OK",1,90
18443,1191,"OK",1,91
27592,1367,"OK",1,92
19532,1002,"OK",1,93
30562,1535,"OK",1,94
33501,1681,"OK",1,95
21322,1677,"OK",1,96
17917,1008,"OK",1,97
27136,1302,"OK",1,98
10847,972,"OK",1,99
25896,1499,"OK",1,100
56653,2435,"OK",1,101
17859,992,"OK",1,102
66598,3760,"OK",1,103
36136,1815,"OK",1,104
17641,1082,"OK",1,105
17636,1081,"OK",1,106
21193,1425,"OK",1,107
39930,1938,"OK",1,108
41000,1821,"OK",1,109
47874,2604,"OK",1,110
54103,2381,"OK",1,111
34467,1875,"OK",1,112
51132,2505,"OK",1,113
18288,1186,"OK",1,114
42956,1995,"OK",1,115
36615,1918,"OK",1,116
24714,1549,"OK",1,117
34941,1788,"OK",1,0
16867,875,"OK",2,1
0,0,"OK",2,2
45347,1937,"OK",2,3
36589,2100,"OK",2,4
8895,669,"OK",2,5
20801,1598,"OK",2,6
39014,1839,"OK",2,7
25577,1248,"OK",2,8
8622,724,"OK",2,9
5536,869,"OK",2,10
39479,1810,"OK",2,11
5456,530,"OK",2,12
36638,1924,"OK",2,13
42234,1968,"OK",2,14
33035,1761,"OK",2,15
26295,1318,"OK",2,16
10318,685,"OK",2,17
36638,1924,"OK",2,18
26286,1395,"OK",2,19
32187,1772,"OK",2,20
32939,1737,"OK",2,21
51534,2154,"OK",2,22
35271,1655,"OK",2,23
31247,1536,"OK",2,24
39771,1830,"OK",2,25
42861,2018,"OK",2,26
47234,2187,"OK",2,27
25038,1367,"OK",2,28
4647,424,"OK",2,29
41410,2002,"OK",2,30
113777,4978,"OK",2,31
15610,825,"OK",2,32
56394,2612,"OK",2,33
44624,2023,"OK",2,34
23998,1218,"OK",2,35
32339,1323,"OK",2,36
27999,1603,"OK",2,37
12123,773,"OK",2,38
13685,874,"OK",2,39
23675,1222,"OK",2,40
33865,1593,"OK",2,41
37380,1876,"OK",2,42
47186,2360,"OK",2,43
11627,661,"OK",2,44
13398,1146,"OK",2,45
25124,1513,"OK",2,46
