"Num","Location","Address..1","City","State","ZIP","lat","lon"
1,"Olympic & Westwood","2215 Westwood Blvd.","Los Angeles","CA",90064,34.0431884,-118.4316897
2,"Pico & Midvale","10911 W Pico Boulevard","Los Angeles","CA",90064,34.0396733,-118.4300214
3,"Olympic & Sawtelle","11280 Olympic Blvd.","Los Angeles","CA",90064,34.0379156,-118.44079
4,"Westwood & Missouri","1898 Westwood Blvd.","Westwood","CA",90025,34.0483736,-118.4353441
5,"Santa Monica & Pontius","11155 Santa Monica Blvd","West Los Angeles","CA",90025,34.0475706,-118.4452513
6,"Westwood & Lindbrook","1161 Westwood Blvd","Los Angeles","CA",90024,34.0594166,-118.444745
7,"Ralphs Los Angeles #210","11727 W Olympic Blvd","Los Angeles","CA",90064,34.0349764,-118.449258
8,"Ralphs-Westwood #759","10861 Weyburn Ave","Westwood","CA",90024,34.062651,-118.4439421
9,"Broxton & Weyburn","10955 West Weyburn","Los Angeles","CA",90024,34.0624967,-118.4473763
10,"Barrington & Sunset","11700 Barrington Court","Los Angeles","CA",90049,34.064485,-118.4694
11,"Avenue of Stars & Constellation","1999 Avenue of the Stars","Century City","CA",90067,34.0588788,-118.4171318
12,"Century Park East & Constellation","1875 Century Park East","Century City","CA",90067,34.0609111,-118.4147379
13,"San Vicente & Barrington","11707 San Vicente Blvd","Los Angeles","CA",90049,34.0537676,-118.466026
14,"Wilshire & Santa Monica","9811 S. Santa Monica Blvd","Beverly Hills","CA",90210,34.0680641,-118.4089378
15,"Century Park East & Olympic","2049 Century Park East","Century City","CA",90067,34.0586075,-118.4131155
16,"N Beverly & S. Santa Monica Blvd","428 North Beverly Drive","Beverly Hills","CA",90210,34.0706703,-118.4022033
17,"Ralph's - Los Angeles #44","12057 Wilshire Blvd","Los Angeles","CA",90025,34.0449181,-118.4669613
18,"Santa Monica & Bundy","12100 Santa Monica Blvd","West Los Angeles","CA",90025,34.0402816,-118.4633262
19,"S. Beverly & Charleville","202 South Beverly Drive","Beverly Hills","CA",90212,34.064829,-118.3988262
20,"Bristol Farms - Santa Monica","3105 Wilshire Blvd","Santa Monica","CA",90403,34.040251,-118.4728012
21,"Ralph's - Los Angeles #198","9616 W. Pico Blvd","Los Angeles","CA",90035,34.0548658,-118.3979122
